"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-05-13,"Jantar","RS","bovino_suino","pts_proteina_texturizada","seg","mai","0","meio",950,0
2024-05-14,"Almoço","RU","bovino","leguminosas","ter","mai","1","meio",3925,0
2024-05-14,"Almoço","RA","bovino","leguminosas","ter","mai","1","meio",1351,0
2024-05-14,"Almoço","RS","bovino","leguminosas","ter","mai","1","meio",1845,0
2024-05-14,"Jantar","RU","frango","leguminosas","ter","mai","0","meio",3025,0
2024-05-14,"Jantar","RA","frango","leguminosas","ter","mai","0","meio",823,0
2024-05-14,"Jantar","RS","frango","leguminosas","ter","mai","0","meio",1129,0
2024-05-15,"Almoço","RU","suino","leguminosas","qua","mai","1","meio",3196,0
2024-05-15,"Almoço","RA","suino","leguminosas","qua","mai","1","meio",1324,0
2024-05-15,"Almoço","RS","suino","leguminosas","qua","mai","1","meio",2024,0
